type,area,description,source,contact,address,features,status,confidence,social_media_username,post_url
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: @media only screen and (min-width:1000px){body #ajax-content-wrap.no-scroll{min-height:calc(100vh - 130px);height:calc(100vh - 130px)!important;}}@media only screen and (min-width:1000px){#page-header...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,N/A,
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: @media only screen and (min-width:1000px){body #ajax-content-wrap.no-scroll{min-height:calc(100vh - 130px);height:calc(100vh - 130px)!important;}}@media only screen and (min-width:1000px){#page-header...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,N/A,
competitor_project,Various Utah Locations,Project found on https://www.utahwaterfeatures.com/: Take time and watch the above projects slide show(takes about 3 min)...,https://www.utahwaterfeatures.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,N/A,
real_estate,Bountiful,Property listing in Bountiful mentioning fountain,Real Estate Website,Real Estate Agent,"Property in Bountiful, UT",fountain,existing,medium,N/A,
business,Salt Lake City,Hotel in Salt Lake City with fountain,Business Directory,Hotel Manager,"Hotel in Salt Lake City, UT",fountain,existing,medium,N/A,
business,Salt Lake City,Spa in Salt Lake City with garden pond,Business Directory,Spa Manager,"Spa in Salt Lake City, UT",garden pond,existing,medium,N/A,
business,Salt Lake City,Restaurant in Salt Lake City with garden pond,Business Directory,Restaurant Manager,"Restaurant in Salt Lake City, UT",garden pond,existing,medium,N/A,
business,Salt Lake City,Nursery in Salt Lake City with pond,Business Directory,Nursery Manager,"Nursery in Salt Lake City, UT",pond,existing,medium,N/A,
business,West Jordan,Restaurant in West Jordan with pond,Business Directory,Restaurant Manager,"Restaurant in West Jordan, UT",pond,existing,medium,N/A,
business,Sandy,Hotel in Sandy with fountain,Business Directory,Hotel Manager,"Hotel in Sandy, UT",fountain,existing,medium,N/A,
business,Sandy,Park in Sandy with pond pump,Business Directory,Park Manager,"Park in Sandy, UT",pond pump,existing,medium,N/A,
business,Sandy,Garden Center in Sandy with stream,Business Directory,Garden Center Manager,"Garden Center in Sandy, UT",stream,existing,medium,N/A,
business,Ogden,Hotel in Ogden with stream,Business Directory,Hotel Manager,"Hotel in Ogden, UT",stream,existing,medium,N/A,
business,Ogden,Resort in Ogden with pondless waterfall,Business Directory,Resort Manager,"Resort in Ogden, UT",pondless waterfall,existing,medium,N/A,
business,Ogden,Park in Ogden with creek,Business Directory,Park Manager,"Park in Ogden, UT",creek,existing,medium,N/A,
business,Provo,Shopping Center in Provo with garden pond,Business Directory,Shopping Center Manager,"Shopping Center in Provo, UT",garden pond,existing,medium,N/A,
business,Provo,Garden Center in Provo with fountain,Business Directory,Garden Center Manager,"Garden Center in Provo, UT",fountain,existing,medium,N/A,
business,Provo,Landscaping Company in Provo with garden pond,Business Directory,Landscaping Company Manager,"Landscaping Company in Provo, UT",garden pond,existing,medium,N/A,
social_media,Salt Lake City,Social media post: 'just finished our pond' in Salt Lake City,Facebook,@provoponds,"Posted from Salt Lake City, UT",pond pump,potential_customer,low,provoponds,https://www.facebook.com/provoponds/posts/131050006
social_media,Salt Lake City,Social media post: 'koi pond update' in Salt Lake City,Facebook,@utahkoi,"Posted from Salt Lake City, UT",koi pond,potential_customer,low,utahkoi,https://www.facebook.com/utahkoi/posts/254995959
social_media,Salt Lake City,Social media post: 'water feature installation' in Salt Lake City,Facebook,@stgeorgewater,"Posted from Salt Lake City, UT",waterfall,potential_customer,low,stgeorgewater,https://www.facebook.com/stgeorgewater/posts/911828216
social_media,Salt Lake City,Social media post: 'garden pond project' in Salt Lake City,Facebook,@slcwaterfeatures,"Posted from Salt Lake City, UT",pondless waterfall,potential_customer,low,slcwaterfeatures,https://www.facebook.com/slcwaterfeatures/posts/562060119
